29052, Diseases of the genitourinary system ,20806, (N11.0) Nonobstructive reflux-associated chronic pyelonephritis ,3351, N11.0 
29052, Diseases of the genitourinary system ,20807, (N11.1) Chronic obstructive pyelonephritis ,9036, N11.1 
29052, Diseases of the genitourinary system ,20808, (N11.8) Other chronic tubulo-interstitial nephritis ,3352, N11.8 
29052, Diseases of the genitourinary system ,20809," (N11.9) Chronic tubulo-interstitial nephritis, unspecified ",6550, N11.9 
29052, Diseases of the genitourinary system ,20810," (N12) Tubulo-interstitial nephritis, not specified as acute or chronic ",9405, N12 
29052, Diseases of the genitourinary system ,20811, (N13) Obstructive and reflux uropathy ,9037, N13 
29052, Diseases of the genitourinary system ,20812, (N13.0) Hydronephrosis with ureteropelvic junction obstruction ,3354, N13.0 
29052, Diseases of the genitourinary system ,20813," (N13.1) Hydronephrosis with ureteral stricture, NEC ",6551, N13.1 
29052, Diseases of the genitourinary system ,20814, (N13.2) Hydronephrosis with renal and ureteral calculous obstruction ,3355, N13.2 
29052, Diseases of the genitourinary system ,20815, (N13.3) Other and unspecified hydronephrosis ,1739, N13.3 
29052, Diseases of the genitourinary system ,20816, (N13.4) Hydroureter ,3356, N13.4 
29052, Diseases of the genitourinary system ,20817, (N13.5) Kinking and stricture of ureter without hydronephrosis ,448, N13.5 
29052, Diseases of the genitourinary system ,20818, (N13.6) Pyonephrosis ,3357, N13.6 
29052, Diseases of the genitourinary system ,20819, (N13.7) Vesicoureteral-reflux-associated uropathy ,9038, N13.7 
29052, Diseases of the genitourinary system ,20820, (N13.8) Other obstructive and reflux uropathy ,3358, N13.8 
29052, Diseases of the genitourinary system ,20821," (N13.9) Obstructive and reflux uropathy, unspecified ",303, N13.9 
29052, Diseases of the genitourinary system ,20822, (N14) Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions ,3359, N14 
29052, Diseases of the genitourinary system ,20823, (N14.0) Analgesic nephropathy ,9039, N14.0 
29052, Diseases of the genitourinary system ,20824," (N14.1) Nephropathy induced by other drugs, medicaments and biological substances ",3360, N14.1 
29052, Diseases of the genitourinary system ,20825," (N14.2) Nephropathy induced by unspecified drug, medicament or biological substance ",6552, N14.2 
29052, Diseases of the genitourinary system ,20826, (N14.3) Nephropathy induced by heavy metals ,3361, N14.3 
29052, Diseases of the genitourinary system ,20827," (N14.4) Toxic nephropathy, NEC ",9040, N14.4 
29052, Diseases of the genitourinary system ,20828, (N15) Other renal tubulo-interstitial diseases ,3362, N15 
29052, Diseases of the genitourinary system ,20829, (N15.0) Balkan nephropathy ,6553, N15.0 
29052, Diseases of the genitourinary system ,20830, (N15.1) Renal and perinephric abscess ,3363, N15.1 
29052, Diseases of the genitourinary system ,20831, (N15.8) Other specified renal tubulo-interstitial diseases ,9041, N15.8 
29052, Diseases of the genitourinary system ,20832," (N15.9) Renal tubulo-interstitial disease, unspecified ",3364, N15.9 
29052, Diseases of the genitourinary system ,20833, (N16) Renal tubulo-interstitial disorders in diseases classified elsewhere ,10495, N16 
29052, Diseases of the genitourinary system ,20834, (N16.0) Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere ,10496, N16.0 
29052, Diseases of the genitourinary system ,20835, (N16.1) Renal tubulo-interstitial disorders in neoplastic diseases ,10497, N16.1 
29052, Diseases of the genitourinary system ,20836, (N16.2) Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism ,10498, N16.2 
29052, Diseases of the genitourinary system ,20837, (N16.3) Renal tubulo-interstitial disorders in metabolic diseases ,10499, N16.3 
